Wall time,Step,Value
1782499551.5692549,352768,205.72019958496094
1782499552.479188,353280,199.95664978027344
1782499555.21332,354816,206.34942626953125
1782499558.876089,356864,204.94581604003906
1782499561.744833,358400,205.72674560546875
1782499562.664434,358912,208.37879943847656
1782499563.569916,359424,207.93753051757812
1782499565.409415,360448,210.86953735351562
1782499566.321874,360960,204.43060302734375
1782499567.273216,361472,205.87765502929688
1782499568.250605,361984,208.74368286132812
1782499570.505413,363008,211.40548706054688
1782499571.415761,363520,218.91055297851562
1782499572.329406,364032,219.01361083984375
1782499576.0040529,366080,210.39901733398438
1782499579.6738932,368128,208.59507751464844
1782499580.5839748,368640,204.08554077148438
1782499582.479976,369664,203.18165588378906
1782499583.3967428,370176,196.79368591308594
1782499584.309335,370688,201.09910583496094
1782499585.221777,371200,207.13372802734375
1782499586.126503,371712,215.39093017578125
1782499587.033441,372224,206.0833282470703
1782499589.833861,373760,227.9274139404297
1782499590.761717,374272,230.97572326660156
1782499591.697995,374784,231.66697692871094
1782499598.508065,377344,198.639404296875
1782499600.335683,378368,204.25192260742188
1782499601.3622952,378880,215.79547119140625
1782499602.2747562,379392,216.19906616210938
1782499603.1784,379904,214.25408935546875
1782499604.9996228,380928,219.15940856933594
1782499607.817621,382464,211.95016479492188
1782499608.731055,382976,214.11721801757812
1782499611.6536489,384512,209.97927856445312
1782499612.697261,385024,217.5974884033203
1782499613.611244,385536,214.6334228515625
1782499615.43434,386560,213.8194122314453
1782499617.251337,387584,209.2678680419922
1782499619.971206,389120,211.86923217773438
1782499620.87923,389632,214.13832092285156
1782499622.97085,390656,236.38412475585938
1782499625.833903,392192,243.60964965820312
1782499626.783912,392704,247.91207885742188
1782499627.700707,393216,242.58880615234375
1782499629.5342941,394240,239.53648376464844
1782499630.6229389,394752,234.80043029785156
1782499631.680342,395264,232.93333435058594
1782499633.532161,396288,245.71737670898438
1782499634.470695,396800,243.54698181152344
1782499635.3941472,397312,242.95359802246094
1782499639.115152,399360,231.7898406982422
1782499640.031059,399872,236.40489196777344
1782499645.631701,401920,235.83799743652344
1782499646.538063,402432,233.89956665039062
1782499648.341335,403456,216.82655334472656
1782499650.1545558,404480,216.60804748535156
1782499651.976046,405504,215.3780517578125
1782499652.8873641,406016,225.50347900390625
1782499653.795625,406528,228.73390197753906
1782499654.707644,407040,217.26194763183594
